"","Var1","Var2","Freq"
"332","Illegal Parking","10158",0
"333","Noise - Commercial","10158",1
"334","Noise - Street/Sidewalk","10158",0
"335","Rodent","10158",0
"336","Food Establishment","10162",0
"337","Illegal Parking","10162",0
"338","Noise - Commercial","10162",0
"339","Noise - Street/Sidewalk","10162",2
"340","Rodent","10162",1
"341","Food Establishment","10165",0
"342","Illegal Parking","10165",0
"343","Noise - Commercial","10165",0
"344","Noise - Street/Sidewalk","10165",1
"345","Rodent","10165",0
"346","Food Establishment","10167",1
"347","Illegal Parking","10167",1
"348","Noise - Commercial","10167",0
"349","Noise - Street/Sidewalk","10167",0
"350","Rodent","10167",0
"351","Food Establishment","10168",0
"352","Illegal Parking","10168",2
"353","Noise - Commercial","10168",0
"354","Noise - Street/Sidewalk","10168",0
"355","Rodent","10168",0
"356","Food Establishment","10169",4
"357","Illegal Parking","10169",2
"358","Noise - Commercial","10169",0
"359","Noise - Street/Sidewalk","10169",0
"360","Rodent","10169",0
"361","Food Establishment","10170",0
"362","Illegal Parking","10170",1
"363","Noise - Commercial","10170",0
"364","Noise - Street/Sidewalk","10170",0
"365","Rodent","10170",0
"366","Food Establishment","10173",0
"367","Illegal Parking","10173",0
"368","Noise - Commercial","10173",0
"369","Noise - Street/Sidewalk","10173",1
"370","Rodent","10173",0
"371","Food Establishment","10176",2
"372","Illegal Parking","10176",0
"373","Noise - Commercial","10176",0
"374","Noise - Street/Sidewalk","10176",0
"375","Rodent","10176",0
"376","Food Establishment","10271",1
"377","Illegal Parking","10271",0
"378","Noise - Commercial","10271",0
"379","Noise - Street/Sidewalk","10271",0
"380","Rodent","10271",0
"381","Food Establishment","10278",0
"382","Illegal Parking","10278",10
"383","Noise - Commercial","10278",1
"384","Noise - Street/Sidewalk","10278",4
"385","Rodent","10278",0
"386","Food Establishment","10279",5
"387","Illegal Parking","10279",0
"388","Noise - Commercial","10279",0
"389","Noise - Street/Sidewalk","10279",1
"390","Rodent","10279",0
"391","Food Establishment","10280",8
"392","Illegal Parking","10280",182
"393","Noise - Commercial","10280",36
"394","Noise - Street/Sidewalk","10280",22
"395","Rodent","10280",0
"396","Food Establishment","10281",3
"397","Illegal Parking","10281",57
"398","Noise - Commercial","10281",5
"399","Noise - Street/Sidewalk","10281",2
"400","Rodent","10281",0
"401","Food Establishment","10282",3
"402","Illegal Parking","10282",42
"403","Noise - Commercial","10282",1
"404","Noise - Street/Sidewalk","10282",6
"405","Rodent","10282",3
"406","Food Establishment","10301",34
"407","Illegal Parking","10301",876
"408","Noise - Commercial","10301",79
"409","Noise - Street/Sidewalk","10301",114
"410","Rodent","10301",159
"411","Food Establishment","10302",33
"412","Illegal Parking","10302",285
"413","Noise - Commercial","10302",40
"414","Noise - Street/Sidewalk","10302",31
"415","Rodent","10302",119
"416","Food Establishment","10303",24
"417","Illegal Parking","10303",319
"418","Noise - Commercial","10303",18
"419","Noise - Street/Sidewalk","10303",58
"420","Rodent","10303",121
"421","Food Establishment","10304",25
"422","Illegal Parking","10304",488
"423","Noise - Commercial","10304",231
"424","Noise - Street/Sidewalk","10304",165
"425","Rodent","10304",201
"426","Food Establishment","10305",28
"427","Illegal Parking","10305",853
"428","Noise - Commercial","10305",45
"429","Noise - Street/Sidewalk","10305",56
"430","Rodent","10305",166
"431","Food Establishment","10306",39
"432","Illegal Parking","10306",859
"433","Noise - Commercial","10306",201
"434","Noise - Street/Sidewalk","10306",83
"435","Rodent","10306",183
"436","Food Establishment","10307",12
"437","Illegal Parking","10307",223
"438","Noise - Commercial","10307",37
"439","Noise - Street/Sidewalk","10307",26
"440","Rodent","10307",24
"441","Food Establishment","10308",12
"442","Illegal Parking","10308",565
"443","Noise - Commercial","10308",150
"444","Noise - Street/Sidewalk","10308",58
"445","Rodent","10308",70
"446","Food Establishment","10309",26
"447","Illegal Parking","10309",666
"448","Noise - Commercial","10309",9
"449","Noise - Street/Sidewalk","10309",54
"450","Rodent","10309",89
"451","Food Establishment","10310",23
"452","Illegal Parking","10310",302
"453","Noise - Commercial","10310",97
"454","Noise - Street/Sidewalk","10310",74
"455","Rodent","10310",159
"456","Food Establishment","10312",31
"457","Illegal Parking","10312",1169
"458","Noise - Commercial","10312",152
"459","Noise - Street/Sidewalk","10312",57
"460","Rodent","10312",154
"461","Food Establishment","10314",84
"462","Illegal Parking","10314",1464
"463","Noise - Commercial","10314",32
"464","Noise - Street/Sidewalk","10314",92
"465","Rodent","10314",287
"466","Food Establishment","10451",51
"467","Illegal Parking","10451",501
"468","Noise - Commercial","10451",89
"469","Noise - Street/Sidewalk","10451",821
"470","Rodent","10451",720
"471","Food Establishment","10452",57
"472","Illegal Parking","10452",569
"473","Noise - Commercial","10452",96
