"Var1","Var2","Freq"
"Illegal Parking","10048",0
"Noise - Commercial","10048",1
"Noise - Street/Sidewalk","10048",12
"Rodent","10048",2
"Dirty Condition","10065",33
"Food Establishment","10065",593
"Illegal Parking","10065",139
"Noise - Commercial","10065",1786
"Noise - Street/Sidewalk","10065",1114
"Rodent","10065",993
"Dirty Condition","10069",4
"Food Establishment","10069",31
"Illegal Parking","10069",15
"Noise - Commercial","10069",16
"Noise - Street/Sidewalk","10069",114
"Rodent","10069",55
"Dirty Condition","10075",26
"Food Establishment","10075",419
"Illegal Parking","10075",116
"Noise - Commercial","10075",1548
"Noise - Street/Sidewalk","10075",869
"Rodent","10075",1091
"Dirty Condition","10096",0
"Food Establishment","10096",2
"Illegal Parking","10096",0
"Noise - Commercial","10096",0
"Noise - Street/Sidewalk","10096",0
"Rodent","10096",0
"Dirty Condition","10103",0
"Food Establishment","10103",6
"Illegal Parking","10103",3
"Noise - Commercial","10103",0
"Noise - Street/Sidewalk","10103",4
"Rodent","10103",0
"Dirty Condition","10105",1
"Food Establishment","10105",2
"Illegal Parking","10105",1
"Noise - Commercial","10105",2
"Noise - Street/Sidewalk","10105",7
"Rodent","10105",1
"Dirty Condition","10106",0
"Food Establishment","10106",3
"Illegal Parking","10106",0
"Noise - Commercial","10106",2
"Noise - Street/Sidewalk","10106",0
"Rodent","10106",0
"Dirty Condition","10107",0
"Food Establishment","10107",0
"Illegal Parking","10107",0
"Noise - Commercial","10107",2
"Noise - Street/Sidewalk","10107",3
"Rodent","10107",0
"Dirty Condition","10110",0
"Food Establishment","10110",3
"Illegal Parking","10110",0
"Noise - Commercial","10110",1
"Noise - Street/Sidewalk","10110",3
"Rodent","10110",0
"Dirty Condition","10111",1
"Food Establishment","10111",13
"Illegal Parking","10111",0
"Noise - Commercial","10111",2
"Noise - Street/Sidewalk","10111",1
"Rodent","10111",1
"Dirty Condition","10112",0
"Food Establishment","10112",27
"Illegal Parking","10112",0
"Noise - Commercial","10112",4
"Noise - Street/Sidewalk","10112",3
"Rodent","10112",2
"Dirty Condition","10115",0
"Food Establishment","10115",3
"Illegal Parking","10115",1
"Noise - Commercial","10115",0
"Noise - Street/Sidewalk","10115",1
"Rodent","10115",1
"Dirty Condition","10118",1
"Food Establishment","10118",5
"Illegal Parking","10118",0
"Noise - Commercial","10118",0
"Noise - Street/Sidewalk","10118",16
"Rodent","10118",2
"Dirty Condition","10119",1
"Food Establishment","10119",37
"Illegal Parking","10119",1
"Noise - Commercial","10119",2
"Noise - Street/Sidewalk","10119",18
"Rodent","10119",1
"Dirty Condition","10120",0
"Food Establishment","10120",0
"Illegal Parking","10120",0
"Noise - Commercial","10120",5
"Noise - Street/Sidewalk","10120",35
"Rodent","10120",2
"Dirty Condition","10121",0
"Food Establishment","10121",17
"Illegal Parking","10121",1
"Noise - Commercial","10121",17
"Noise - Street/Sidewalk","10121",23
"Rodent","10121",1
"Dirty Condition","10122",0
"Food Establishment","10122",0
"Illegal Parking","10122",0
"Noise - Commercial","10122",0
"Noise - Street/Sidewalk","10122",3
"Rodent","10122",0
"Dirty Condition","10123",0
"Food Establishment","10123",6
"Illegal Parking","10123",0
"Noise - Commercial","10123",2
"Noise - Street/Sidewalk","10123",16
"Rodent","10123",0
"Dirty Condition","10128",74
"Food Establishment","10128",685
"Illegal Parking","10128",165
"Noise - Commercial","10128",2771
"Noise - Street/Sidewalk","10128",2007
"Rodent","10128",2781
"Dirty Condition","10129",0
"Food Establishment","10129",0
"Illegal Parking","10129",0
"Noise - Commercial","10129",0
"Noise - Street/Sidewalk","10129",2
"Rodent","10129",0
"Dirty Condition","10151",0
"Food Establishment","10151",1
"Illegal Parking","10151",2
"Noise - Commercial","10151",0
"Noise - Street/Sidewalk","10151",0
"Rodent","10151",1
"Dirty Condition","10152",0
"Food Establishment","10152",0
"Illegal Parking","10152",0
"Noise - Commercial","10152",0
"Noise - Street/Sidewalk","10152",9
"Rodent","10152",0
"Dirty Condition","10153",0
"Food Establishment","10153",0
"Illegal Parking","10153",0
"Noise - Commercial","10153",0
"Noise - Street/Sidewalk","10153",15
"Rodent","10153",5
"Dirty Condition","10154",0
"Food Establishment","10154",1
"Illegal Parking","10154",2
"Noise - Commercial","10154",1
"Noise - Street/Sidewalk","10154",0
"Rodent","10154",0
"Dirty Condition","10158",0
"Food Establishment","10158",2
"Illegal Parking","10158",0
"Noise - Commercial","10158",4
"Noise - Street/Sidewalk","10158",14
"Rodent","10158",1
"Dirty Condition","10162",0
"Food Establishment","10162",0
"Illegal Parking","10162",0
"Noise - Commercial","10162",19
"Noise - Street/Sidewalk","10162",8
"Rodent","10162",17
"Dirty Condition","10165",0
"Food Establishment","10165",1
"Illegal Parking","10165",0
"Noise - Commercial","10165",0
"Noise - Street/Sidewalk","10165",9
"Rodent","10165",1
"Dirty Condition","10166",0
"Food Establishment","10166",1
"Illegal Parking","10166",0
"Noise - Commercial","10166",0
"Noise - Street/Sidewalk","10166",1
"Rodent","10166",0
"Dirty Condition","10167",0
"Food Establishment","10167",1
"Illegal Parking","10167",1
"Noise - Commercial","10167",1
"Noise - Street/Sidewalk","10167",0
"Rodent","10167",0
"Dirty Condition","10168",1
"Food Establishment","10168",2
"Illegal Parking","10168",2
"Noise - Commercial","10168",0
"Noise - Street/Sidewalk","10168",2
"Rodent","10168",0
"Dirty Condition","10169",3
"Food Establishment","10169",9
"Illegal Parking","10169",1
"Noise - Commercial","10169",1
"Noise - Street/Sidewalk","10169",1
"Rodent","10169",0
"Dirty Condition","10170",0
"Food Establishment","10170",0
"Illegal Parking","10170",1
"Noise - Commercial","10170",3
"Noise - Street/Sidewalk","10170",18
"Rodent","10170",0
"Dirty Condition","10171",0
"Food Establishment","10171",1
"Illegal Parking","10171",0
"Noise - Commercial","10171",0
"Noise - Street/Sidewalk","10171",1
"Rodent","10171",0
"Dirty Condition","10172",0
"Food Establishment","10172",3
"Illegal Parking","10172",2
"Noise - Commercial","10172",0
"Noise - Street/Sidewalk","10172",2
"Rodent","10172",0
"Dirty Condition","10173",0
"Food Establishment","10173",0
"Illegal Parking","10173",0
"Noise - Commercial","10173",0
"Noise - Street/Sidewalk","10173",1
"Rodent","10173",0
"Dirty Condition","10174",0
"Food Establishment","10174",0
"Illegal Parking","10174",0
"Noise - Commercial","10174",1
"Noise - Street/Sidewalk","10174",0
"Rodent","10174",1
"Dirty Condition","10176",0
"Food Establishment","10176",2
"Illegal Parking","10176",0
"Noise - Commercial","10176",0
"Noise - Street/Sidewalk","10176",0
"Rodent","10176",0
"Dirty Condition","10177",0
"Food Establishment","10177",0
"Illegal Parking","10177",0
"Noise - Commercial","10177",0
"Noise - Street/Sidewalk","10177",2
"Rodent","10177",0
"Dirty Condition","10178",0
"Food Establishment","10178",0
"Illegal Parking","10178",0
"Noise - Commercial","10178",0
"Noise - Street/Sidewalk","10178",4
"Rodent","10178",0
"Dirty Condition","10271",0
"Food Establishment","10271",2
"Illegal Parking","10271",0
"Noise - Commercial","10271",0
"Noise - Street/Sidewalk","10271",3
"Rodent","10271",1
"Dirty Condition","10275",0
"Food Establishment","10275",0
"Illegal Parking","10275",0
"Noise - Commercial","10275",0
"Noise - Street/Sidewalk","10275",11
"Rodent","10275",0
"Dirty Condition","10278",1
"Food Establishment","10278",3
"Illegal Parking","10278",1
"Noise - Commercial","10278",2
"Noise - Street/Sidewalk","10278",10
"Rodent","10278",1
"Dirty Condition","10279",0
"Food Establishment","10279",9
"Illegal Parking","10279",0
"Noise - Commercial","10279",0
"Noise - Street/Sidewalk","10279",2
"Rodent","10279",0
"Dirty Condition","10280",3
"Food Establishment","10280",74
"Illegal Parking","10280",39
"Noise - Commercial","10280",185
"Noise - Street/Sidewalk","10280",173
"Rodent","10280",47
"Dirty Condition","10281",0
"Food Establishment","10281",39
"Illegal Parking","10281",3
"Noise - Commercial","10281",33
"Noise - Street/Sidewalk","10281",43
"Rodent","10281",0
"Dirty Condition","10282",2
"Food Establishment","10282",44
"Illegal Parking","10282",450
"Noise - Commercial","10282",26
"Noise - Street/Sidewalk","10282",106
"Rodent","10282",41
"Dirty Condition","10301",183
"Food Establishment","10301",390
"Illegal Parking","10301",420
"Noise - Commercial","10301",1176
"Noise - Street/Sidewalk","10301",2396
"Rodent","10301",1819
"Dirty Condition","10302",51
"Food Establishment","10302",330
"Illegal Parking","10302",149
"Noise - Commercial","10302",552
"Noise - Street/Sidewalk","10302",438
"Rodent","10302",1134
"Dirty Condition","10303",46
"Food Establishment","10303",194
"Illegal Parking","10303",178
"Noise - Commercial","10303",243
"Noise - Street/Sidewalk","10303",847
"Rodent","10303",1331
"Dirty Condition","10304",114
"Food Establishment","10304",277
"Illegal Parking","10304",283
"Noise - Commercial","10304",1476
"Noise - Street/Sidewalk","10304",1863
"Rodent","10304",1579
"Dirty Condition","10305",69
"Food Establishment","10305",395
"Illegal Parking","10305",444
"Noise - Commercial","10305",662
"Noise - Street/Sidewalk","10305",613
"Rodent","10305",1611
"Dirty Condition","10306",146
"Food Establishment","10306",493
"Illegal Parking","10306",425
"Noise - Commercial","10306",997
"Noise - Street/Sidewalk","10306",685
"Rodent","10306",2239
"Dirty Condition","10307",37
"Food Establishment","10307",152
"Illegal Parking","10307",124
"Noise - Commercial","10307",953
"Noise - Street/Sidewalk","10307",307
